date,open,close,high,low,volume,amount,up,down
1997-09-29,1,0.91,1.02,0.9,253551477.89473686,240873904,0,0
1997-09-30,0.91,0.95,0.97,0.9,123962400,116524656,0,0
1997-10-06,0.96,0.93,0.97,0.92,52160578.72340426,49030944,0,0
1997-10-07,0.93,0.94,0.94,0.9,36111130.43478261,33222240,0,0
1997-10-08,0.97,0.95,1,0.94,91966630.92783505,89207632,0,0
1997-10-09,0.95,0.94,0.97,0.93,26517374.468085106,24926332,0,0
1997-10-10,0.94,0.96,0.98,0.94,35903445.833333336,34467308,0,0
1997-10-13,0.97,0.99,1,0.97,53975624.489795916,52896112,0,0
1997-10-14,0.99,0.97,0.99,0.96,22282131.958762888,21613668,0,0
1997-10-15,0.97,0.99,1,0.95,25790012.244897958,25274212,0,0
1997-10-16,1,1.02,1.04,0.99,75664761.16504854,77934704,0,0
1997-10-17,1.03,1.02,1.04,1.01,47863840.77669903,49299756,0,0
1997-10-20,1.04,1.08,1.08,1.03,67968957.00934578,72726784,0,0
1997-10-21,1.08,1.1,1.1,1.05,43529771.96261682,46576856,0,0
1997-10-22,1.1,1.04,1.11,1.04,66440463.55140187,71091296,0,0
1997-10-23,1.04,1.07,1.08,1.04,37793300.93457944,40438832,0,0
1997-10-24,1.07,1.06,1.07,1.04,26146275.471698113,27715052,0,0
1997-10-27,1.07,1.15,1.17,1.07,50419968.421052635,57478764,0,0
1997-10-28,1.16,1.08,1.16,1.07,42333700.9009009,46990408,0,0
1997-10-29,1.07,1.13,1.13,1.07,32103963.636363633,35314360,0,0
1997-10-30,1.14,1.12,1.18,1.11,43596361.73913044,50135816,0,0
1997-10-31,1.11,1.13,1.14,1.08,18106702.7027027,20098440,0,0
1997-11-03,1.14,1.13,1.15,1.11,13548207.964601772,15309475,0,0
1997-11-04,1.13,1.11,1.14,1.11,11547811.50442478,13049027,0,0
1997-11-05,1.11,1.14,1.14,1.11,22532824.778761063,25462092,0,0
1997-11-06,1.14,1.11,1.16,1.11,13834845.614035089,15771724,0,0
1997-11-07,1.03,1.14,1.14,1.03,23979365.765765764,26617096,0,0
1997-11-10,1.14,1.11,1.16,1.1,22621564.912280705,25788584,0,0
1997-11-11,1.11,1.09,1.12,1.07,13837174.311926605,15082520,0,0
1997-11-12,1.09,1.07,1.1,1.07,13062399.074074073,14107391,0,0
1997-11-13,1.07,1.09,1.1,1.05,13066348.59813084,13980993,0,0
1997-11-14,1.09,1.11,1.14,1.07,21567394.594594594,23939808,0,0
1997-11-17,1.14,1.11,1.15,1.1,8984635.135135135,9972945,0,0
1997-11-18,1.11,1.08,1.11,1.07,7004444.036697247,7634844,0,0
1997-11-19,1.07,1.11,1.13,1.07,10249850.909090908,11274836,0,0
1997-11-20,1.1,1.11,1.12,1.1,9583706.306306306,10637914,0,0
1997-11-21,1.11,1.1,1.11,1.09,11478083.636363635,12625892,0,0
1997-11-24,1.08,1.06,1.08,1.05,10421965.420560747,11151503,0,0
1997-11-25,1.06,1.07,1.07,1.04,9296099.047619047,9760904,0,0
1997-11-26,1.07,1.07,1.08,1.05,5606341.121495327,5998785,0,0
1997-11-27,1.07,1.05,1.07,1.05,6856926.415094339,7268342,0,0
1997-11-28,1.04,1.07,1.07,1.04,4269844.339622641,4526035,0,0
1997-12-01,1.07,1.07,1.08,1.06,3368955.1401869156,3604782,0,0
1997-12-02,1.07,1.1,1.11,1.07,9017733.636363635,9919507,0,0
1997-12-03,1.1,1.1,1.11,1.07,7152527.2727272725,7867780,0,0
1997-12-04,1.11,1.12,1.14,1.11,23228311.50442478,26247992,0,0
1997-12-05,1.14,1.11,1.14,1.1,7969500.892857142,8925841,0,0
1997-12-08,1.12,1.14,1.15,1.11,12643217.54385965,14413268,0,0
1997-12-09,1.14,1.16,1.16,1.14,18788794.782608695,21607114,0,0
1997-12-10,1.17,1.17,1.18,1.15,13502152.586206898,15662497,0,0
1997-12-11,1.17,1.16,1.17,1.14,7929027.586206897,9197672,0,0
1997-12-12,1.17,1.19,1.22,1.15,22993755,27592506,0,0
1997-12-15,1.21,1.29,1.3,1.21,39294456.69291338,49903960,0,0
1997-12-16,1.3,1.29,1.31,1.27,20146787.5,25787888,0,0
1997-12-17,1.27,1.27,1.31,1.22,38573406.34920635,48602492,0,0
1997-12-18,1.25,1.26,1.29,1.24,16975307.086614173,21558640,0,0
1997-12-19,1.26,1.27,1.29,1.24,13377428.346456693,16989334,0,0
1997-12-22,1.27,1.32,1.37,1.26,40015362.40601504,53220432,0,0
1997-12-23,1.33,1.31,1.33,1.28,25413795.41984733,33292072,0,0
1997-12-24,1.3,1.29,1.31,1.27,16738193.798449611,21592270,0,0
1997-12-25,1.29,1.3,1.33,1.28,15747517.557251908,20629248,0,0
1997-12-26,1.31,1.27,1.32,1.26,23415626.356589146,30206158,0,0
1997-12-29,1.26,1.22,1.26,1.21,23977970.967741936,29732684,0,0
1997-12-30,1.21,1.24,1.24,1.21,11544789.516129032,14315539,0,0
1997-12-31,1.23,1.27,1.28,1.23,15043311.811023623,19105006,0,0
1998-01-05,1.27,1.35,1.37,1.27,31687095.52238806,42460708,0,0
1998-01-06,1.35,1.35,1.39,1.32,26695081.48148148,36038360,0,0
1998-01-07,1.35,1.36,1.37,1.32,19798847.761194028,26530456,0,0
1998-01-08,1.37,1.37,1.39,1.33,15209573.722627737,20837116,0,0
1998-01-09,1.34,1.35,1.39,1.32,18222205.970149253,24417756,0,0
1998-01-12,1.35,1.28,1.36,1.27,20158383.206106868,26407482,0,0
1998-01-13,1.26,1.22,1.27,1.15,38083230,45699876,0,0
1998-01-14,1.22,1.24,1.26,1.21,20596276.422764227,25333420,0,0
1998-01-15,1.24,1.26,1.26,1.22,11454932.258064516,14204116,0,0
1998-01-16,1.25,1.28,1.29,1.24,12396959.05511811,15744138,0,0
1998-01-19,1.28,1.28,1.31,1.27,8838790.625,11313652,0,0
1998-01-20,1.27,1.25,1.29,1.23,7265029.365079365,9153937,0,0
1998-01-21,1.24,1.23,1.27,1.23,7285398.387096774,9033894,0,0
1998-01-22,1.23,1.26,1.27,1.23,7024412.8,8780516,0,0
1998-01-23,1.27,1.28,1.3,1.26,7406129.6875,9479846,0,0
1998-02-09,1.34,1.28,1.34,1.28,8582325.384615384,11157023,0,0
1998-02-10,1.29,1.25,1.29,1.24,7473351.587301588,9416423,0,0
1998-02-11,1.25,1.24,1.26,1.24,6078466.935483871,7537299,0,0
1998-02-12,1.24,1.25,1.26,1.21,10423632.520325202,12821068,0,0
1998-02-13,1.26,1.24,1.26,1.22,5385779.838709678,6678367,0,0
1998-02-16,1.23,1.2,1.24,1.19,12087052.892561983,14625334,0,0
1998-02-17,1.21,1.21,1.21,1.19,5726019.166666667,6871223,0,0
1998-02-18,1.21,1.2,1.22,1.19,4481895,5378274,0,0
1998-02-19,1.19,1.21,1.21,1.17,5945620.3389830515,7015832,0,0
1998-02-20,1.21,1.19,1.22,1.18,4348481.666666667,5218178,0,0
1998-02-23,1.18,1.16,1.18,1.15,6694158.620689656,7765224,0,0
1998-02-24,1.16,1.14,1.16,1.13,7980091.228070176,9097304,0,0
1998-02-25,1.14,1.14,1.14,1.11,5566126.315789474,6345384,0,0
1998-02-26,1.14,1.18,1.19,1.14,5123434.482758621,5943184,0,0
1998-02-27,1.18,1.15,1.18,1.14,3862047.413793104,4479975,0,0
1998-03-02,1.11,1.11,1.14,1.11,5947733.333333333,6601984,0,0
1998-03-03,0.99,1.05,1.07,0.99,14096330.769230768,14660184,0,0
1998-03-04,1.05,1.08,1.1,1.04,11707019.626168223,12526511,0,0
1998-03-05,1.08,1.07,1.08,1.06,4381898.130841121,4688631,0,0
1998-03-06,1.07,1.07,1.08,1.07,3578209.3457943923,3828684,0,0
1998-03-09,1.08,1.14,1.16,1.08,18785038.59649123,21414944,0,0
1998-03-10,1.14,1.14,1.15,1.13,8960325.438596493,10214771,0,0
1998-03-11,1.15,1.14,1.18,1.14,10153643.103448277,11778226,0,0
1998-03-12,1.14,1.14,1.15,1.11,6282250.000000001,7161765,0,0
1998-03-13,1.14,1.14,1.15,1.12,3741748.2456140355,4265593,0,0
1998-03-16,1.15,1.17,1.17,1.14,6067238.793103449,7037997,0,0
1998-03-17,1.17,1.18,1.19,1.17,6792436.440677967,8015075,0,0
1998-03-18,1.18,1.17,1.18,1.15,5088201.70940171,5953196,0,0
1998-03-19,1.17,1.14,1.17,1.14,5350496.521739131,6153071,0,0
1998-03-20,1.15,1.16,1.17,1.14,4075703.47826087,4687059,0,0
1998-03-23,1.16,1.21,1.23,1.15,16232581.818181818,19641424,0,0
1998-03-24,1.21,1.22,1.26,1.21,10080017.886178862,12398422,0,0
1998-03-25,1.25,1.22,1.26,1.22,9494105.64516129,11772691,0,0
1998-03-26,1.22,1.19,1.24,1.19,6460661.983471074,7817401,0,0
1998-03-27,1.19,1.24,1.26,1.17,13465169.105691057,16562158,0,0
1998-03-30,1.25,1.24,1.27,1.23,12814084.8,16017606,0,0
1998-03-31,1.24,1.21,1.24,1.21,6966568.5950413225,8429548,0,0
1998-04-01,1.21,1.21,1.25,1.21,7306176.229508197,8913535,0,0
1998-04-02,1.22,1.22,1.24,1.21,12444592.62295082,15182403,0,0
1998-04-03,1.22,1.21,1.23,1.19,9498332.231404958,11492982,0,0
1998-04-06,1.21,1.19,1.21,1.17,13019847.899159664,15493619,0,0
